system:index,LC_Prop1,LC_Prop1_Assessment,LC_Prop2,LC_Prop2_Assessment,LC_Prop3,LC_Prop3_Assessment,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,LW,Latitude,Longitude,QC,ID,mode,.geo
158,32,88,30,88,30,88,10,10,1,6,6,2,34.47134482,66.70869186,0,345,10,"{""type"":""Point"",""coordinates"":[66.70869131077781,34.47134378062552]}"
159,1,82,1,82,1,82,16,15,9,7,11,2,33.3648301,86.36770503,0,346,10,"{""type"":""Point"",""coordinates"":[86.36770403004573,33.36483123151608]}"
0000000000000000015a,31,99,30,99,30,99,10,10,1,6,6,2,33.01275724,97.55822023,0,347,10,"{""type"":""Point"",""coordinates"":[97.55821944276298,33.01275844874021]}"
0000000000000000015b,31,99,30,99,30,99,10,10,1,6,6,2,34.84018306,101.4900229,0,348,10,"{""type"":""Point"",""coordinates"":[101.49002287843678,34.840182783362344]}"
0000000000000000015c,31,99,30,99,30,99,10,10,1,6,6,2,37.42205073,99.77616017,0,349,10,"{""type"":""Point"",""coordinates"":[99.77615847034275,37.4220513434191]}"
0000000000000000015d,31,99,30,99,30,99,10,10,1,6,6,2,37.28792773,107.9422118,0,350,10,"{""type"":""Point"",""coordinates"":[107.9422127888424,37.2879260428325]}"
0000000000000000015e,1,99,1,99,1,99,16,15,9,7,11,2,35.61139028,84.14976508,0,351,10,"{""type"":""Point"",""coordinates"":[84.14976500246597,35.61138876965686]}"
0000000000000000015f,1,99,1,99,1,99,16,15,9,7,11,2,36.86879337,83.54487237,0,352,13,"{""type"":""Point"",""coordinates"":[83.54487456726288,36.868792839313855]}"
160,31,99,36,99,30,99,12,12,3,5,8,2,33.93485284,74.87474348,0,353,4,"{""type"":""Point"",""coordinates"":[74.87474562927747,33.93485149648123]}"
161,31,99,36,99,30,99,12,12,1,6,7,2,31.6053,73.4522,0,354,13,"{""type"":""Point"",""coordinates"":[73.45219875210613,31.60530116953371]}"
162,22,99,25,97,20,99,14,14,4,1,1,2,31.11826992,105.6234564,0,355,4,"{""type"":""Point"",""coordinates"":[105.62345794554528,31.118269234274248]}"
163,31,99,36,99,30,99,12,12,1,6,7,2,32.7817,115.5553,0,356,4,"{""type"":""Point"",""coordinates"":[115.5552984448053,32.7817012094538]}"
164,22,98,25,98,20,98,14,14,4,4,4,2,36.0896,140.036,0,357,4,"{""type"":""Point"",""coordinates"":[140.035999560579,36.08960060303261]}"
165,1,99,1,99,1,99,16,15,9,7,11,2,39.70214166,61.06302653,0,358,13,"{""type"":""Point"",""coordinates"":[61.063027926111026,39.70214132148179]}"
166,1,99,1,99,1,99,16,15,9,7,11,2,30.78296243,63.48259739,0,359,13,"{""type"":""Point"",""coordinates"":[63.482598585125515,30.78296267145933]}"
167,1,99,1,99,1,99,16,15,9,7,11,2,38.15972721,79.10899248,0,360,13,"{""type"":""Point"",""coordinates"":[79.10899205300228,38.15972934889275]}"
168,1,99,1,99,1,99,16,15,9,7,11,2,39.815,92.4895,0,361,13,"{""type"":""Point"",""coordinates"":[92.48950130699735,39.81500116914451]}"
169,1,99,1,99,1,99,16,15,9,7,11,2,39.46742642,103.0022546,0,362,13,"{""type"":""Point"",""coordinates"":[103.0022556550961,39.46742761933155]}"
0000000000000000016a,14,99,10,99,10,99,4,4,6,4,4,2,44.60546782,131.3313967,0,363,4,"{""type"":""Point"",""coordinates"":[131.33139731234942,44.60546694007405]}"
